Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-CD-C1,C&B-Subtitle-CD-C2,C&B-Subtitle-raw-W,C&B-Subtitle-CD-W
一刀,一刀,1,2,604056,4999,6240,1946,N/A,N/A
一口,一口,1,3,604056,21385,6240,5406,N/A,N/A
一分,一分,1,4,604056,48396,6240,6077,952,675
一切,一切,1,4,604056,28202,6240,5640,21709,5326
一心,一心,1,4,604056,83418,6240,6225,137,128
一手,一手,1,4,604056,75608,6240,6186,107,97
一斤,一斤,1,4,604056,369,6240,226,N/A,N/A
一半,一半,1,5,604056,10910,6240,4341,2633,1673
一旦,一旦,1,5,604056,3661,6240,2154,2922,1939
一生,一生,1,5,604056,162725,6240,6237,2437,1650
一共,一共,1,6,604056,7769,6240,3605,507,429
一再,一再,1,6,604056,78039,6240,6230,68,61
一同,一同,1,6,604056,42995,6240,6029,276,229
一向,一向,1,6,604056,24596,6240,5538,510,440
一早,一早,1,6,604056,26160,6240,5670,326,295
一些,一些,1,8,604056,113122,6240,6229,17133,4907
一併,一并,1,8,604056,26283,6240,5393,27,27
一來,一来,1,8,604056,377902,6240,6242,162,149
一味,一味,1,8,604056,11803,6240,4466,10,10
一定,一定,1,8,604056,81657,6240,6219,20273,5274
一直,一直,1,8,604056,46163,6240,6143,24551,5731
一則,一则,1,9,604056,8312,6240,3735,8,8
一度,一度,1,9,604056,17384,6240,5042,80,76
一律,一律,1,9,604056,12028,6240,3042,31,29
一流,一流,1,9,604056,11946,6240,4331,346,271
一致,一致,1,10,604056,6199,6240,3135,1087,826
一面,一面,1,9,604056,67015,6240,6200,887,663
一旁,一旁,1,10,604056,3900,6240,2429,129,121
一時,一时,1,10,604056,162611,6240,6240,583,510
一般,一般,1,10,604056,4611,6240,2632,2586,1788
一起,一起,1,10,604056,127575,6240,6238,32889,5873
一陣,一阵,1,10,604056,2429,6240,1564,499,431
一帶,一带,1,11,604056,45283,6240,6062,172,150
一貫,一贯,1,11,604056,486,6240,408,163,150
一塊,一块,1,13,604056,11381,6240,3795,233,194
一會,一会,1,13,604056,321488,6240,6242,1013,784
一概,一概,1,13,604056,5532,6240,2937,17,17
一經,一经,1,13,604056,80207,6240,6214,16,15
一路,一路,1,13,604056,23462,6240,5258,1001,721
一道,一道,1,13,604056,230531,6240,6241,64,55
一齊,一齐,1,14,604056,1671,6240,945,44,26
一樣,一样,1,15,604056,161409,6240,6237,28861,5906
一點,一点,1,17,604056,128025,6240,6237,20342,5326
一邊,一边,1,19,604056,30972,6240,5769,2594,1638
一體,一体,1,23,604056,26590,6240,5453,126,109
丁級,丁级,2,10,3640,9893,1389,3733,N/A,N/A
七夕,七夕,2,3,4094,474,2179,335,N/A,N/A
七彩,七彩,2,11,4094,5381,2179,2196,4,4
乃至,乃至,2,6,566,18394,209,5381,21,21
了卻,了却,2,9,993990,13707,6243,4636,9,9
了得,了得,2,11,993990,208054,6243,6239,14,14
了結,了结,2,12,993990,32979,6243,5870,475,381
了解,了解,2,13,993990,36622,6243,5912,10127,4076
了斷,了断,2,18,993990,9088,6243,3966,126,114
二手,二手,2,4,16814,75608,4904,6186,89,78
二叔,二叔,2,8,16814,5419,4904,1102,N/A,N/A
二姑,二姑,2,8,16814,5640,4904,2143,N/A,N/A
二胡,二胡,2,9,16814,5787,4904,2648,N/A,N/A
二等,二等,2,12,16814,71184,4904,6178,63,40
