Character,CHR/million,logCHR,logCHR-CD,HomoDensity,Num-Neighbors
我,43956.7,6.3137,3.7953,1,261
的,37618.23,6.246,3.7954,1,9
你,30845.37,6.1598,3.7953,3,261
是,25022.86,6.069,3.7954,29,306
了,21220.47,5.9974,3.7954,3,261
不,19313.7,5.9565,3.7954,12,304
们,14981.59,5.8462,3.7954,1,10
这,13531.75,5.8020000000000005,3.7954,2,306
一,12895.86,5.7811,3.7952,10,278
他,12050.89,5.7516,3.7953,7,277
么,11908.43,5.7465,3.7943,8,278
在,11664.27,5.7375,3.7953,3,305
有,11392.37,5.7272,3.7954,6,262
个,9669.35,5.656000000000001,3.7953,1,11
好,8811.92,5.6157,3.7953,8,304
来,8067.74,5.5774,3.7953,5,218
人,7969.33,5.572,3.7952,5,219
那,7792.81,5.5623,3.7951,5,305
要,7594.4,5.5511,3.7954,4,306
会,6863.37,5.5072,3.7953,15,306
就,6699.1,5.4966,3.7954,11,305
什,6558.0,5.4874,3.7951,10,220
没,6273.85,5.4682,3.7953,13,219
到,6196.08,5.4627,3.7954,8,305
说,6016.96,5.45,3.7954,1,276
吗,5408.46,5.4037,3.7879,3,278
为,5320.78,5.3966,3.7953,13,220
想,5282.82,5.3935,3.7953,4,262
能,5158.23,5.3831,3.7954,1,217
上,5047.94,5.3737,3.7952,4,305
去,4960.3,5.3661,3.7953,3,305
道,4921.55,5.3627,3.7953,8,305
她,4920.21,5.3626,3.7883,7,277
很,4688.66,5.3417,3.7952,3,261
看,4568.08,5.3304,3.7951,2,305
可,4540.24,5.3277,3.7951,2,262
知,4516.16,5.3254,3.7951,11,278
得,4441.7,5.3182,3.7951,1,259
过,4232.99,5.2973,3.7952,1,306
吧,4209.1,5.2948,3.795,1,12
还,4107.27,5.2842,3.7951,7,220
对,4094.55,5.2828,3.7949,5,304
里,4071.08,5.2803,3.7953,9,262
以,3939.02,5.266,3.795,8,262
都,3855.31,5.2567,3.795,3,277
事,3836.72,5.2546,3.795,29,306
子,3793.53,5.2497,3.7951,6,261
生,3473.98,5.2115,3.795,6,278
时,3471.55,5.2111,3.7952,10,220
样,3445.88,5.2079,3.795,4,306
也,3414.22,5.2039,3.795,4,262
和,3329.06,5.1929,3.7941,14,305
下,3278.42,5.1863,3.7951,4,305
真,3008.64,5.149,3.7948,11,277
现,2941.37,5.1392,3.7952,12,306
做,2910.44,5.1346,3.7944,5,304
大,2885.48,5.1308,3.795,1,306
啊,2804.05,5.1184,3.7872,2,275
怎,2769.79,5.1131,3.7949,1,259
出,2762.62,5.1119,3.7951,4,278
点,2733.18,5.1073,3.795,4,261
起,2723.57,5.1058,3.795,5,262
天,2712.43,5.104,3.7948,2,277
把,2708.75,5.1034,3.7948,2,263
开,2707.07,5.1031,3.7953,3,276
让,2671.03,5.0973,3.7945,2,304
给,2644.84,5.093,3.7948,1,259
但,2609.59,5.0872,3.7892,10,305
谢,2576.11,5.0816,3.7885,14,306
着,2507.97,5.0699,3.7941,11,218
只,2506.47,5.0697,3.795,11,262
些,2415.02,5.0535,3.7944,3,278
如,2414.61,5.0535,3.7948,5,219
家,2399.32,5.0507,3.7949,13,278
后,2346.55,5.0411,3.7937,4,305
儿,2250.2,5.0228,3.7829,3,219
多,2221.32,5.0172,3.7949,4,219
意,2206.48,5.0143,3.795,37,306
别,2178.3,5.0087,3.7946,1,305
所,2144.36,5.0019,3.7946,4,260
话,2132.29,4.9995,3.7942,5,305
小,2123.52,4.9977,3.7944,2,261
自,2107.08,4.9943,3.7947,5,305
回,1979.27,4.9671,3.7947,2,220
然,1953.71,4.9615,3.7946,3,218
果,1952.79,4.9613,3.7935,3,262
发,1870.79,4.9427,3.7942,3,277
见,1830.08,4.9331,3.7938,19,305
心,1780.87,4.9213,3.7941,9,276
走,1766.93,4.9178,3.7935,1,260
定,1743.28,4.912,3.7937,5,305
听,1741.42,4.9115,3.7939,3,277
