Character-1,Character-2,Word_Trad,Word_Sim,Stroke-1,Stroke-2,C&B-Subtitle-raw-C1,C&B-Subtitle-raw-C2,C&B-Subtitle-CD-C1,C&B-Subtitle-CD-C2,C&B-Subtitle-raw-W,C&B-Subtitle-CD-W
一,刀,一刀,一刀,1,2,604056.0,4999.0,6240.0,1946.0,,
一,口,一口,一口,1,3,604056.0,21385.0,6240.0,5406.0,,
一,分,一分,一分,1,4,604056.0,48396.0,6240.0,6077.0,952.0,675.0
一,切,一切,一切,1,4,604056.0,28202.0,6240.0,5640.0,21709.0,5326.0
一,心,一心,一心,1,4,604056.0,83418.0,6240.0,6225.0,137.0,128.0
一,手,一手,一手,1,4,604056.0,75608.0,6240.0,6186.0,107.0,97.0
一,斤,一斤,一斤,1,4,604056.0,369.0,6240.0,226.0,,
一,半,一半,一半,1,5,604056.0,10910.0,6240.0,4341.0,2633.0,1673.0
一,旦,一旦,一旦,1,5,604056.0,3661.0,6240.0,2154.0,2922.0,1939.0
一,生,一生,一生,1,5,604056.0,162725.0,6240.0,6237.0,2437.0,1650.0
一,共,一共,一共,1,6,604056.0,7769.0,6240.0,3605.0,507.0,429.0
一,再,一再,一再,1,6,604056.0,78039.0,6240.0,6230.0,68.0,61.0
一,同,一同,一同,1,6,604056.0,42995.0,6240.0,6029.0,276.0,229.0
一,向,一向,一向,1,6,604056.0,24596.0,6240.0,5538.0,510.0,440.0
一,早,一早,一早,1,6,604056.0,26160.0,6240.0,5670.0,326.0,295.0
一,些,一些,一些,1,8,604056.0,113122.0,6240.0,6229.0,17133.0,4907.0
一,并,一併,一并,1,8,604056.0,26283.0,6240.0,5393.0,27.0,27.0
一,来,一來,一来,1,8,604056.0,377902.0,6240.0,6242.0,162.0,149.0
一,味,一味,一味,1,8,604056.0,11803.0,6240.0,4466.0,10.0,10.0
一,定,一定,一定,1,8,604056.0,81657.0,6240.0,6219.0,20273.0,5274.0
一,直,一直,一直,1,8,604056.0,46163.0,6240.0,6143.0,24551.0,5731.0
一,则,一則,一则,1,9,604056.0,8312.0,6240.0,3735.0,8.0,8.0
一,度,一度,一度,1,9,604056.0,17384.0,6240.0,5042.0,80.0,76.0
一,律,一律,一律,1,9,604056.0,12028.0,6240.0,3042.0,31.0,29.0
一,流,一流,一流,1,9,604056.0,11946.0,6240.0,4331.0,346.0,271.0
一,致,一致,一致,1,10,604056.0,6199.0,6240.0,3135.0,1087.0,826.0
一,面,一面,一面,1,9,604056.0,67015.0,6240.0,6200.0,887.0,663.0
一,旁,一旁,一旁,1,10,604056.0,3900.0,6240.0,2429.0,129.0,121.0
一,时,一時,一时,1,10,604056.0,162611.0,6240.0,6240.0,583.0,510.0
一,般,一般,一般,1,10,604056.0,4611.0,6240.0,2632.0,2586.0,1788.0
一,起,一起,一起,1,10,604056.0,127575.0,6240.0,6238.0,32889.0,5873.0
一,阵,一陣,一阵,1,10,604056.0,2429.0,6240.0,1564.0,499.0,431.0
一,带,一帶,一带,1,11,604056.0,45283.0,6240.0,6062.0,172.0,150.0
一,贯,一貫,一贯,1,11,604056.0,486.0,6240.0,408.0,163.0,150.0
一,块,一塊,一块,1,13,604056.0,11381.0,6240.0,3795.0,233.0,194.0
一,会,一會,一会,1,13,604056.0,321488.0,6240.0,6242.0,1013.0,784.0
一,概,一概,一概,1,13,604056.0,5532.0,6240.0,2937.0,17.0,17.0
一,经,一經,一经,1,13,604056.0,80207.0,6240.0,6214.0,16.0,15.0
一,路,一路,一路,1,13,604056.0,23462.0,6240.0,5258.0,1001.0,721.0
一,道,一道,一道,1,13,604056.0,230531.0,6240.0,6241.0,64.0,55.0
一,齐,一齊,一齐,1,14,604056.0,1671.0,6240.0,945.0,44.0,26.0
一,样,一樣,一样,1,15,604056.0,161409.0,6240.0,6237.0,28861.0,5906.0
一,点,一點,一点,1,17,604056.0,128025.0,6240.0,6237.0,20342.0,5326.0
一,边,一邊,一边,1,19,604056.0,30972.0,6240.0,5769.0,2594.0,1638.0
一,体,一體,一体,1,23,604056.0,26590.0,6240.0,5453.0,126.0,109.0
丁,级,丁級,丁级,2,10,3640.0,9893.0,1389.0,3733.0,,
七,夕,七夕,七夕,2,3,4094.0,474.0,2179.0,335.0,,
七,彩,七彩,七彩,2,11,4094.0,5381.0,2179.0,2196.0,4.0,4.0
乃,至,乃至,乃至,2,6,566.0,18394.0,209.0,5381.0,21.0,21.0
了,却,了卻,了却,2,9,993990.0,13707.0,6243.0,4636.0,9.0,9.0
了,得,了得,了得,2,11,993990.0,208054.0,6243.0,6239.0,14.0,14.0
了,结,了結,了结,2,12,993990.0,32979.0,6243.0,5870.0,475.0,381.0
了,解,了解,了解,2,13,993990.0,36622.0,6243.0,5912.0,10127.0,4076.0
了,断,了斷,了断,2,18,993990.0,9088.0,6243.0,3966.0,126.0,114.0
二,手,二手,二手,2,4,16814.0,75608.0,4904.0,6186.0,89.0,78.0
二,叔,二叔,二叔,2,8,16814.0,5419.0,4904.0,1102.0,,
二,姑,二姑,二姑,2,8,16814.0,5640.0,4904.0,2143.0,,
二,胡,二胡,二胡,2,9,16814.0,5787.0,4904.0,2648.0,,
二,等,二等,二等,2,12,16814.0,71184.0,4904.0,6178.0,63.0,40.0
二,楼,二樓,二楼,2,15,16814.0,9176.0,4904.0,3251.0,,
人,力,人力,人力,2,2,373292.0,44859.0,6240.0,6009.0,168.0,138.0
人,口,人口,人口,2,3,373292.0,21385.0,6240.0,5406.0,555.0,400.0
人,士,人士,人士,2,3,373292.0,31972.0,6240.0,5218.0,592.0,492.0
人,工,人工,人工,2,3,373292.0,44548.0,6240.0,5692.0,204.0,163.0
人,才,人才,人才,2,3,373292.0,46044.0,6240.0,6153.0,443.0,375.0
人,手,人手,人手,2,4,373292.0,75608.0,6240.0,6186.0,162.0,145.0
人,文,人文,人文,2,4,373292.0,14196.0,6240.0,3743.0,12.0,7.0
人,世,人世,人世,2,5,373292.0,21566.0,6240.0,5168.0,125.0,111.0
人,奶,人奶,人奶,2,5,373292.0,8037.0,6240.0,2250.0,,
人,民,人民,人民,2,5,373292.0,9468.0,6240.0,2882.0,1661.0,713.0
人,生,人生,人生,2,5,373292.0,162725.0,6240.0,6237.0,2852.0,1640.0
人,名,人名,人名,2,6,373292.0,43229.0,6240.0,5995.0,28.0,28.0
人,次,人次,人次,2,6,373292.0,58108.0,6240.0,6183.0,3.0,3.0
人,身,人身,人身,2,7,373292.0,38760.0,6240.0,6010.0,189.0,150.0
人,事,人事,人事,2,8,373292.0,179716.0,6240.0,6237.0,112.0,95.0
人,命,人命,人命,2,8,373292.0,25014.0,6240.0,5227.0,178.0,144.0
人,性,人性,人性,2,8,373292.0,28102.0,6240.0,5317.0,373.0,297.0
人,物,人物,人物,2,8,373292.0,30079.0,6240.0,5603.0,2014.0,1378.0
人,品,人品,人品,2,9,373292.0,14318.0,6240.0,4239.0,64.0,51.0
人,流,人流,人流,2,9,373292.0,11946.0,6240.0,4331.0,32.0,24.0
人,为,人為,人为,2,9,373292.0,249231.0,6240.0,6241.0,80.0,72.0
人,们,人們,人们,2,10,373292.0,701754.0,6240.0,6243.0,7990.0,3470.0
人,员,人員,人员,2,10,373292.0,29907.0,6240.0,5177.0,2781.0,1563.0
人,家,人家,人家,2,10,373292.0,112387.0,6240.0,6236.0,1027.0,737.0
人,格,人格,人格,2,10,373292.0,19477.0,6240.0,4252.0,362.0,234.0
人,马,人馬,人马,2,10,373292.0,34892.0,6240.0,5560.0,129.0,100.0
人,参,人參,人参,2,11,373292.0,13574.0,6240.0,4169.0,30.0,21.0
人,情,人情,人情,2,11,373292.0,69279.0,6240.0,6178.0,207.0,183.0
人,造,人造,人造,2,11,373292.0,11461.0,6240.0,4064.0,186.0,149.0
人,间,人間,人间,2,12,373292.0,60047.0,6240.0,6174.0,350.0,280.0
人,猿,人猿,人猿,2,13,373292.0,188.0,6240.0,94.0,26.0,19.0
人,瑞,人瑞,人瑞,2,13,373292.0,7937.0,6240.0,1207.0,,
